epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1602.21,0.41957,0.36303,0.95591,0.96163,0.86582,0.91638,0.7657,0.61348,0.51896,1.10069,0.000940855,0.000940855,0.000940855
90,1619.53,0.41444,0.36096,0.94807,0.9221,0.88118,0.92229,0.76581,0.63576,0.53707,1.15447,0.000932603,0.000932603,0.000932603
91,1638.03,0.40662,0.35222,0.95265,0.95255,0.88802,0.92948,0.77402,0.61018,0.50823,1.07804,0.000924352,0.000924352,0.000924352
92,1655.28,0.41247,0.3621,0.94886,0.93659,0.88966,0.93669,0.79363,0.59625,0.49915,1.08734,0.0009161,0.0009161,0.0009161
93,1672.48,0.41619,0.36736,0.95331,0.95034,0.89112,0.91809,0.76234,0.65467,0.52305,1.14501,0.000907848,0.000907848,0.000907848
94,1690.83,0.40767,0.35278,0.94603,0.90697,0.90001,0.92428,0.7786,0.60863,0.54108,1.1128,0.000899597,0.000899597,0.000899597
95,1708.12,0.41396,0.3648,0.95069,0.93777,0.86906,0.922,0.76701,0.61434,0.4978,1.13422,0.000891345,0.000891345,0.000891345
96,1725.39,0.40953,0.35423,0.95304,0.94279,0.87548,0.90989,0.75114,0.64481,0.52346,1.14302,0.000883093,0.000883093,0.000883093
97,1743.16,0.40957,0.3606,0.94941,0.95235,0.87305,0.91672,0.76687,0.60104,0.51325,1.10836,0.000874842,0.000874842,0.000874842
98,1760.46,0.39717,0.34507,0.94773,0.97151,0.86984,0.93234,0.75293,0.67325,0.56647,1.16619,0.00086659,0.00086659,0.00086659
99,1778.66,0.40371,0.35262,0.94944,0.93753,0.88743,0.92442,0.77864,0.58737,0.50322,1.07959,0.000858338,0.000858338,0.000858338
100,1795.95,0.39414,0.34468,0.95139,0.9087,0.91133,0.91865,0.73729,0.64661,0.55941,1.14701,0.000850087,0.000850087,0.000850087
